"[""Genius is one percent inspiration and ninety-nine percent perspiration. By: Thomas Edison.""], "
"[""The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own. By: Lao Tzu.""], "
"[""Dont leave a stone unturned. Its always something, to know you have done the most you could. By: Charles Dickens.""], "
"[""By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm. By: Dalai Lama.""], "
"[""We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly. By: Sam Keen.""], "
"[""What lies behind us and what lies before us are tiny matters compared to what lies within us. By: Walt Emerson.""], "
"[""There are things so deep and complex that only intuition can reach it in our stage of development as human beings. By: John Astin.""], "
"[""A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success. By: Elbert Hubbard.""], "
"[""There is no retirement for an artist, its your way of living so there is no end to it. By: Henry Moore.""], "
"[""I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability. By: Confucius.""], "
"[""Why worry about things you cant control when you can keep yourself busy controlling the things that depend on you? By .""], "
"[""When you are content to be simply yourself and dont compare or compete, everybody will respect you. By: Laozi.""], "
"[""Be not afraid of greatness some are born great, some achieve greatness, and some have greatness thrust upon them. By: William Shakespeare.""], "
"[""Success means having the courage, the determination, and the will to become the person you believe you were meant to be. By: George Sheehan.""], "
"[""Do you want to know who you are? Dont ask. Act! Action will delineate and define you. By: Thomas Jefferson.""], "
"[""It is only with the heart that one can see rightly, what is essential is invisible to the eye. By: Antoine de Saint-Exupery.""], "
"[""Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom. By: Marcel Proust.""], "
"[""Make the best use of what is in your power, and take the rest as it happens. By: Epictetus.""], "
"[""The thoughts we choose to think are the tools we use to paint the canvas of our lives. By: Louise Hay.""], "
"[""No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto. By: W. Clement Stone.""], "
"[""The reason most goals are not achieved is that we spend our time doing second things first. By: Robert McKain.""], "
"[""If your actions inspire others to dream more, learn more, do more and become more, you are a leader. By: John Quincy Adams.""], "
"[""Im a great believer in luck and I find the harder I work, the more I have of it. By: Thomas Jefferson.""], "
"[""Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good. By: Ralph Emerson.""], "
"[""The person born with a talent they are meant to use will find their greatest happiness in using it. By: Johann Wolfgang von Goethe.""], "
"[""Good people are good because theyve come to wisdom through failure. We get very little wisdom from success, you know. By: William Saroyan.""], "
"[""Your destiny isnt just fate; it is how you use your own developed abilities to get what you want. By: Byron Pulsifer.""], "
"[""Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind. By: Leonardo da Vinci.""], "
"[""A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value. By: Isaac Asimov.""], "
"[""Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars. By: Henry Van Dyke.""], "
"[""You got to be careful if you dont know where youre going, because you might not get there. By: Yogi Berra.""], "
"[""You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions. By: Naguib Mahfouz.""], "
"[""Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more By Anthony Robbins.""], "
"[""You cant let praise or criticism get to you. Its a weakness to get caught up in either one. By: John Wooden.""], "
"[""I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars. By: Og Mandino.""], "
"[""Our doubts are traitors and make us lose the good we often might win, by fearing to attempt. By: Jane Addams.""], "
"[""By nature man hates change; seldom will he quit his old home till it has actually fallen around his ears. By: Thomas Carlyle.""], "
"[""Until you value yourself, you wont value your time. Until you value your time, you wont do anything with it. By: M. Scott Peck.""], "
"[""The minute you settle for less than you deserve, you get even less than you settled for. By: Maureen Dowd.""], "
"[""The highest stage in moral ure at which we can arrive is when we recognize that we ought to control our thoughts. By: Charles Darwin.""], "
"[""It is better to take many small steps in the right direction than to make a great leap forward only to stumble backward. By: .""], "
"[""If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace. By: Dalai Lama.""], "
"[""There is only one success, to be able to spend your life in your own way. By: Christopher Morley.""], "
"[""Promises are the uniquely human way of ordering the future, making it predictable and reliable to the extent that this is humanly possible. By: Hannah Arendt.""], "
"[""Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts. By: Alan Cohen.""], "
"[""There is only one corner of the universe you can be certain of improving, and thats your own self. By: Aldous Huxley.""], "
"[""Youre not obligated to win. Youre obligated to keep trying to do the best you can every day. By: Marian Edelman.""], "
"[""Everyone can taste success when the going is easy, but few know how to taste victory when times get tough. By: Byron Pulsifer.""], "
"[""Deep listening is miraculous for both listener and speaker.When someone receives us with open-hearted, non-judging, intensely interested listening, our spirits expand. By: Sue Patton Thoele.""], "
"[""You may be deceived if you trust too much, but you will live in torment if you dont trust enough. By: Frank Crane.""], "
"[""Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven. By: Lao Tzu.""], "
"[""All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable. By: Kathleen Norris.""], "
"[""Choose a job you love, and you will never have to work a day in your life. By: Confucius.""], "
"[""You cannot find yourself by going into the past. You can find yourself by coming into the present. By: Eckhart Tolle.""], "
"[""All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise. By: Anne Bronte.""], "
"[""In order to live free and happily you must sacrifice boredom. It is not always an easy sacrifice. By: Richard Bach.""], "
"[""The fox has many tricks. The hedgehog has but one. But that is the best of all. By: Desiderius Erasmus.""], "
"[""Of course there is no formula for success except perhaps an unconditional acceptance of life and what it brings. By: Arthur Rubinstein.""], "
"[""Let me tell you the secret that has led me to my goal my strength lies solely in my tenacity By Louis Pasteur.""], "
"[""Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us We taste only sacredness. By: Rumi.""], "
"[""We must never forget that it is through our actions, words, and thoughts that we have a choice. By: Sogyal Rinpoche.""], "
"[""We see things not as they are, but as we are. Our perception is shaped by our previous experiences. By: Dennis Kimbro.""], "
"[""True silence is the rest of the mind; it is to the spirit what sleep is to the body, nourishment and refreshment. By: William Penn.""], "
"[""All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason. By: Immanuel Kant.""], "
"[""The thought manifests as the word. The word manifests as the deed. The deed develops into habit. And the habit hardens into character. By: Buddha.""], "
"[""As the rest of the world is walking out the door, your best friends are the ones walking in. By: .""], "
"[""Patience is a virtue but you will never ever accomplish anything if you dont exercise action over patience. By: Byron Pulsifer.""], "
"[""Any of us can achieve virtue, if by virtue we merely mean the avoidance of the vices that do not attract us. By: Robert Lynd.""], "
"[""If the single man plant himself indomitably on his instincts, and there abide, the huge world will come round to him. By: Ralph Emerson.""], "
"[""Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game. By: Donald Trump.""], "
"[""Friendship with oneself is all important because without it one cannot be friends with anybody else in the world. By: Eleanor Roosevelt.""], "
"[""Peace is not something you wish for. Its something you make, something you do, something you are, and something you give away. By: Robert Fulghum.""], "
"[""A wise man can learn more from a foolish question than a fool can learn from a wise answer. By: Bruce Lee.""], "
"[""Every man takes the limits of his own field of vision for the limits of the world. By: Arthur Schopenhauer.""], "
"[""One does not discover new lands without consenting to lose sight of the shore for a very long time. By: Andre Gide.""], "
"[""What is new in the world? Nothing. What is old in the world? Nothing. Everything has always been and will always be. By: Sai Baba.""], "
"[""Genuine love should first be directed at oneself. if we do not love ourselves, how can we love others? By Dalai Lama.""], "
"[""Life is like a sewer. What you get out of it depends on what you put into it. By: Tom Lehrer.""], "
"[""Notice that the stiffest tree is most easily cracked, while the bamboo or willow survives by bending with the wind. By: Bruce Lee.""], "
"[""Learn all you can from the mistakes of others. You wont have time to make them all yourself. By: Alfred Sheinwold.""], "
"[""Judge nothing, you will be happy. Forgive everything, you will be happier. Love everything, you will be happiest. By: Sri Chinmoy.""], "
"[""People are so constituted that everybody would rather undertake what they see others do, whether they have an aptitude for it or not. By: Johann Wolfgang von Goethe.""], "
"[""We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life. By: James Freeman Clarke.""], "
"[""The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery. By: Anais Nin.""], "
"[""Everything that happens happens as it should, and if you observe carefully, you will find this to be so. By: Marcus Aurelius.""], "
"[""What we think determines what happens to us, so if we want to change our lives, we need to stretch our minds. By: Wayne Dyer.""], "
"[""In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves. By: Buddha.""], "
"[""It is the greatest of all mistakes to do nothing because you can only do little, do what you can. By: Sydney Smith.""], "
"[""When you see a man of worth, think of how you may emulate him. When you see one who is unworthy, examine yourself. By: Confucius.""], "
"[""Aerodynamically the bumblebee shouldnt be able to fly, but the bumblebee doesnt know that so it goes on flying anyway. By: Mary Kay Ash.""], "
"[""Those who try to do something and fail are infinitely better than those who try nothing and succeed. By: Lloyd Jones.""], "
"[""Snowflakes are one of natures most fragile things, but just look what they can do when they stick together. By: Vista Kelly.""], "
"[""The first step to getting the things you want out of life is this decide what you want. By: Ben Stein.""], "
"[""Why compare yourself with others? No one in the entire world can do a better job of being you than you. By: .""], "
"[""Experience is not what happens to a man. It is what a man does with what happens to him. By: Aldous Huxley.""], "
"[""A good teacher is like a candle, it consumes itself to light the way for others. By: .""], "
"[""The only thing to do with good advice is to pass it on. It is never of any use to oneself. By: Oscar Wilde.""], "
"[""Life is not measured by the breaths we take, but by the moments that take our breath. By: .""], "
"[""The smallest flower is a thought, a life answering to some feature of the Great Whole, of whom they have a persistent intuition. By: Honore de Balzac.""], "
"[""Consider how hard it is to change yourself and youll understand what little chance you have in trying to change others. By: Jacob Braude.""], "
"[""If youll not settle for anything less than your best, you will be amazed at what you can accomplish in your lives. By: Vince Lombardi.""], "
"[""What lies behind us and what lies before us are small matters compared to what lies within us. By: Oliver Holmes.""], "
"[""With the realization of ones own potential and self-confidence in ones ability, one can build a better world. By: Dalai Lama.""], "
"[""There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered. By: Nelson Mandela.""], "
"[""Forget about all the reasons why something may not work. You only need to find one good reason why it will. By: Robert Anthony.""], "
"[""It is the mark of an educated mind to be able to entertain a thought without accepting it. By: Aristotle.""], "
"[""Love is never lost. If not reciprocated, it will flow back and soften and purify the heart. By: Washington Irving.""], "
"[""We all live with the objective of being happy; our lives are all different and yet the same. By: Anne Frank.""], "
"[""Many people think of prosperity that concerns money only to forget that true prosperity is of the mind. By: Byron Pulsifer.""], "
"[""To be beautiful means to be yourself. You dont need to be accepted by others. You need to accept yourself. By: Thich Nhat Hanh.""], "
"[""Do not overrate what you have received, nor envy others. He who envies others does not obtain peace of mind. By: Buddha.""], "
"[""It is very easy to forgive others their mistakes; it takes more grit to forgive them for having witnessed your own. By: Jessamyn West.""], "
"[""Bodily exercise, when compulsory, does no harm to the body; but knowledge which is acquired under compulsion obtains no hold on the mind. By: Plato.""], "
"[""Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it. By: Bruce Lee.""], "
"[""Let us revere, let us worship, but erect and open-eyed, the highest, not the lowest; the future, not the past! By Charlotte Gilman.""], "
"[""Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. By: Mother Teresa.""], "
"[""Silences make the real conversations between friends. Not the saying but the never needing to say is what counts. By: Margaret Runbeck.""], "
"[""The key to transforming our hearts and minds is to have an understanding of how our thoughts and emotions work. By: Dalai Lama.""], "
"[""If you must tell me your opinions, tell me what you believe in. I have plenty of douts of my own. By: Johann Wolfgang von Goethe.""], "
"[""Chance is always powerful. Let your hook be always cast; in the pool where you least expect it, there will be a fish. By: Ovid.""], "
"[""I seek constantly to improve my manners and graces, for they are the sugar to which all are attracted. By: Og Mandino.""], "
"[""We never understand how little we need in this world until we know the loss of it. By: James Barrie.""], "
"[""The real measure of your wealth is how much youd be worth if you lost all your money. By: .""], "
"[""To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear. By: Buddha.""], "
"[""Take no thought of who is right or wrong or who is better than. Be not for or against. By: Bruce Lee.""], "
"[""I am a man of fixed and unbending principles, the first of which is to be flexible at all times. By: Everett Dirksen.""], "
"[""Today, give a stranger a smile without waiting for it may be the joy they need to have a great day. By: Byron Pulsifer.""], "
"[""The moment one gives close attention to anything, even a blade of grass, it becomes a mysterious, awesome, indescribably magnificent world in itself. By: Henry Miller.""], "
"[""At the center of your being you have the answer; you know who you are and you know what you want. By: Lao Tzu.""], "
"[""How wonderful that we have met with a paradox. Now we have some hope of making progress. By: Niels Bohr.""], "
"[""Everyone is a genius at least once a year. A real genius has his original ideas closer together. By: Georg Lichtenberg.""], "
"[""Dreams pass into the reality of action. From the actions stems the dream again; and this interdependence produces the highest form of living. By: Anais Nin.""], "
"[""Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning. By: Gloria Steinem.""], "
"[""Sadness may be part of life but there is no need to let it dominate your entire life. By: Byron Pulsifer.""], "
"[""Keeping a little ahead of conditions is one of the secrets of business, the trailer seldom goes far. By: Charles Schwab.""], "
"[""Nature gave us one tongue and two ears so we could hear twice as much as we speak. By: Epictetus.""], "
"[""Dont wait for your feelings to change to take the action. Take the action and your feelings will change. By: Barbara Baron.""], "
"[""You are always free to change your mind and choose a different future, or a different past. By: Richard Bach.""], "
"[""You were not born a winner, and you were not born a loser. You are what you make yourself be. By: Lou Holtz.""], "
"[""Cherish your visions and your dreams as they are the children of your soul, the blueprints of your ultimate achievements. By: Napoleon Hill.""], "
"[""Cherish your visions and your dreams as they are the children of your soul; the blueprints of your ultimate achievements. By: Napoleon Hill.""], "
"[""To be what we are, and to become what we are capable of becoming, is the only end of life. By: Robert Stevenson.""], "
"[""The road leading to a goal does not separate you from the destination; it is essentially a part of it. By: Charles DeLint.""], "
"[""Take things as they are. Punch when you have to punch. Kick when you have to kick. By: Bruce Lee.""], "
"[""I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind. By: Albert Einstein.""], "
"[""Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending. By: .""], "
"[""Mind is everything muscle, pieces of rubber. All that I am, I am because of my mind. By: Paavo Nurmi.""], "
"[""How wonderful it is that nobody need wait a single moment before starting to improve the world. By: Anne Frank.""], "
"[""A friend is someone who understands your past, believes in your future, and accepts you just the way you are. By: .""], "
"[""It is one of the blessings of old friends that you can afford to be stupid with them. By: Ralph Emerson.""], "
"[""He that never changes his opinions, never corrects his mistakes, and will never be wiser on the morrow than he is today. By: Tryon Edwards.""], "
"[""Give me six hours to chop down a tree and I will spend the first four sharpening the axe. By: Abraham Lincoln.""], "
"[""One must be fond of people and trust them if one is not to make a mess of life. By: E. M. Forster.""], "
"[""We cannot change our memories, but we can change their meaning and the power they have over us. By: David Seamans.""], "
"[""Being in humaneness is good. If we select other goodness and thus are far apart from humaneness, how can we be the wise? By Confucius.""], "
"[""To give hope to someone occurs when you teach them how to use the tools to do it for themselves. By: Byron Pulsifer.""], "
"[""Id rather regret the things that I have done than the things that I have not done. By: Lucille Ball.""], "
"[""The past has no power to stop you from being present now. Only your grievance about the past can do that. By: Eckhart Tolle.""], "
"[""If the stars should appear but one night every thousand years how man would marvel and adore. By: Ralph Emerson.""], "
"[""There are two kinds of failures those who thought and never did, and those who did and never thought. By: Laurence J. Peter.""], "
"[""Im not interested in age. People who tell me their age are silly. Youre as old as you feel. By: Elizabeth Arden.""], "
"[""I find hope in the darkest of days, and focus in the brightest. I do not judge the universe. By: Dalai Lama.""], "
"[""When it is obvious that the goals cannot be reached, dont adjust the goals, adjust the action steps. By: Confucius.""], "
"[""Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more. By: Nikola Tesla.""], "
"[""Blessed is the person who is too busy to worry in the daytime, and too sleepy to worry at night. By: Leo Aikman.""], "
"[""He can who thinks he can, and he cant who thinks he cant. This is an inexorable, indisputable law. By: Pablo Picasso.""], "
"[""These days people seek knowledge, not wisdom. Knowledge is of the past, wisdom is of the future. By: Vernon Cooper.""], "
"[""One secret of success in life is for a man to be ready for his opportunity when it comes. By: Benjamin Disraeli.""], "
"[""People take different roads seeking fulfilment and happiness. Just because theyre not on your road doesnt mean theyve gotten lost. By: Dalai Lama.""], "
"[""The shoe that fits one person pinches another; there is no recipe for living that suits all cases. By: Carl Jung.""], "
"[""There are only two mistakes one can make along the road to truth; not going all the way, and not starting. By: Buddha.""], "
"[""Very little is needed to make a happy life; it is all within yourself, in your way of thinking. By: Marcus Aurelius.""], "
"[""Giving up doesnt always mean you are weak. Sometimes it means that you are strong enough to let go. By: .""], "
"[""Treat people as if they were what they ought to be and you help them to become what they are capable of being. By: Johann Wolfgang von Goethe.""], "
"[""The most precious gift we can offer anyone is our attention. When mindfulness embraces those we love, they will bloom like flowers. By: Thich Nhat Hanh.""], "
"[""If you focus on results, you will never change. If you focus on change, you will get results. By: Jack Dixon.""], "
"[""I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder. By: G. K. Chesterton.""], "
"[""There are two primary choices in life to accept conditions as they exist, or accept the responsibility for changing them. By: Denis Waitley.""], "
"[""All difficult things have their origin in that which is easy, and great things in that which is small. By: Lao-Tzu.""], "
"[""You can be what you want to be. You have the power within and we will help you always. By: Byron Pulsifer.""], "
"[""To speak gratitude is courteous and pleasant, to enact gratitude is generous and noble, but to live gratitude is to touch Heaven. By: Johannes Gaertner.""], "
"[""Wisdom is the reward you get for a lifetime of listening when youd have preferred to talk. By: Doug Larson.""], "
"[""The greatest pleasure I know is to do a good action by stealth, and to have it found out by accident. By: Charles Lamb.""], "
"[""When one tugs at a single thing in nature, he finds it attached to the rest of the world. By: John Muir.""], "
"[""Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen. By: Winston Churchill.""], "
"[""The most beautiful things in the world cannot be seen or even touched. They must be felt with the heart. By: Helen Keller.""], "
"[""To live a pure unselfish life, one must count nothing as ones own in the midst of abundance. By: Buddha.""], "
"[""Many of lifes failures are people who did not realize how close they were to success when they gave up. By: Thomas Edison.""], "
"[""When we seek to discover the best in others, we somehow bring out the best in ourselves. By: William Ward.""], "
"[""If you accept the expectations of others, especially negative ones, then you never will change the outcome. By: Michael Jordan.""], "
"[""A man may fulfil the object of his existence by asking a question he cannot answer, and attempting a task he cannot achieve. By: Oliver Holmes.""], "
"[""I am not bothered by the fact that I am unknown. I am bothered when I do not know others. By: Confucius.""], "
"[""He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has. By: Epictetus.""], "
"[""I am always doing that which I cannot do, in order that I may learn how to do it. By: Pablo Picasso.""], "
"[""If youre walking down the right path and youre willing to keep walking, eventually youll make progress. By: Barack Obama.""], "
"[""The world is round and the place which may seem like the end may also be the beginning. By: Ivy Baker Priest.""], "
"[""Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it. By: .""], "
"[""Give it all youve got because you never know if theres going to be a next time. By: Danielle Ingrum.""], "
"[""You have to take it as it happens, but you should try to make it happen the way you want to take it. By: Old German proverb.""], "
"[""Nothing is predestined The obstacles of your past can become the gateways that lead to new beginnings. By: Ralph Blum.""], "
"[""Im not in this world to live up to your expectations and youre not in this world to live up to mine. By: Bruce Lee.""], "
"[""Sometimes your joy is the source of your smile, but sometimes your smile can be the source of your joy. By: Thich Nhat Hanh.""], "
"[""I cant imagine a person becoming a success who doesnt give this game of life everything hes got. By: Walter Cronkite.""], "
"[""The greatest way to live with honor in this world is to be what we pretend to be. By: Socrates.""], "
"[""The conditions of conquest are always easy. We have but to toil awhile, endure awhile, believe always, and never turn back. By: Seneca.""], "
"[""The grand essentials of happiness are something to do, something to love, and something to hope for. By: Chalmers.""], "
"[""By living deeply in the present moment we can understand the past better and we can prepare for a better future. By: Thich Nhat Hanh.""], "
"[""Do not be too timid and squeamish about your reactions. All life is an experiment. The more experiments you make the better. By: Ralph Emerson.""], "
"[""Do not go where the path may lead, go instead where there is no path and leave a trail. By: Ralph Emerson.""], "
"[""There is no duty we so underrate as the duty of being happy. By: being happy we sow anonymous benefits upon the world. By: Robert Louis Stevenson.""], "
"[""Edison failed 10,000 times before he made the electric light. Do not be discouraged if you fail a few times. By: Napoleon Hill.""], "
"[""Yesterday is history. Tomorrow is a mystery. And today? Today is a gift thats why they call it the present. By: .""], "
"[""The only way to tell the truth is to speak with kindness. Only the words of a loving man can be heard. By: Henry Thoreau.""], "
"[""The greatest good you can do for another is not just to share your riches but to reveal to him his own. By: Benjamin Disraeli.""], "
"[""You can only grow if youre willing to feel awkward and uncomfortable when you try something new. By: Brian Tracy.""], "
"[""To free us from the expectations of others, to give us back to ourselves, there lies the great, singular power of self-respect. By: Joan Didion.""], "
"[""It is more important to know where you are going than to get there quickly. Do not mistake activity for achievement. By: Mabel Newcomber.""], "
"[""When you dont know what you believe, everything becomes an argument. Everything is debatable. But when you stand for something, decisions are obvious. By: .""], "
"[""Intuition is the supra-logic that cuts out all the routine processes of thought and leaps straight from the problem to the answer. By: Robert Graves.""], "
"[""The thing always happens that you really believe in; and the belief in a thing makes it happen. By: Frank Wright.""], "
"[""A true friend is the most precious of all possessions and the one we take the least thought about acquiring. By: Francois de La Rochefoucauld.""], "
"[""There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will. By: Epictetus.""], "
"[""Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary. By: Margaret Cousins.""], "
"[""Every sixty seconds you spend angry, upset or mad, is a full minute of happiness youll never get back. By: .""], "
"[""This world, after all our science and sciences, is still a miracle; wonderful, inscrutable, magical and more, to whosoever will think of it. By: Thomas Carlyle.""], "
"[""Every great mistake has a halfway moment, a split second when it can be recalled and perhaps remedied. By: Pearl Buck.""], "
"[""You can adopt the attitude there is nothing you can do, or you can see the challenge as your call to action. By: Catherine Pulsifer.""], "
"[""The happiness of a man in this life does not consist in the absence but in the mastery of his passions. By: Alfred Tennyson.""], "
"[""Never doubt that a small group of thoughtful, committed people can change the world. Indeed. It is the only thing that ever has. By: Margaret Mead.""], "
"[""Let your hook always be cast; in the pool where you least expect it, there will be a fish. By: Ovid.""], "
"[""You get peace of mind not by thinking about it or imagining it, but by quietening and relaxing the restless mind. By: Remez Sasson.""], "
"[""Your friends will know you better in the first minute you meet than your acquaintances will know you in a thousand years. By: Richard Bach.""], "
"[""When you begin to touch your heart or let your heart be touched, you begin to discover that its bottomless. By: Pema Chodron.""], "
"[""If you love someone, set them free. If they come back theyre yours; if they dont they never were. By: Richard Bach.""], "
"[""Wisdom is knowing what to do next; Skill is knowing how to do it, and Virtue is doing it. By: David Jordan.""], "
"[""Bad things are not the worst things that can happen to us. Nothing is the worst thing that can happen to us! By Richard Bach.""], "
"[""No valid plans for the future can be made by those who have no capacity for living now. By: Alan Watts.""], "
"[""The aim of life is self-development. To realize ones nature perfectly, that is what each of us is here for. By: Oscar Wilde.""], "
"[""To accomplish great things, we must not only act, but also dream; not only plan, but also believe. By: Anatole France.""], "
"[""The first requisite for success is the ability to apply your physical and mental energies to one problem incessantly without growing weary. By: Thomas Edison.""], "
"[""If we could learn to like ourselves, even a little, maybe our cruelties and angers might melt away. By: John Steinbeck.""], "
"[""If we are facing in the right direction, all we have to do is keep on walking. By: .""], "
"[""Remember always that you not only have the right to be an individual, you have an obligation to be one. By: Eleanor Roosevelt.""], "
"[""There are two primary choices in life to accept conditions as they exist, or accept responsibility for changing them. By: Denis Waitley.""], "
"[""If you seek truth you will not seek victory by dishonourable means, and if you find truth you will become invincible. By: Epictetus.""], "
"[""Through meditation and by giving full attention to one thing at a time, we can learn to direct attention where we choose. By: Eknath Easwaran.""], "
"[""We could never learn to be brave and patient if there were only joy in the world. By: Helen Keller.""], "
"[""If it is not right do not do it; if it is not true do not say it. By: Marcus Aurelius.""], "
"[""The truth of the matter is that you always know the right thing to do. The hard part is doing it. By: Norman Schwarzkopf.""], "
"[""Some people thrive on huge, dramatic change. Some people prefer the slow and steady route. Do whats right for you. By: Julie Morgenstern.""], "
"[""Man is equally incapable of seeing the nothingness from which he emerges and the infinity in which he is engulfed. By: Blaise Pascal.""], "
"[""Arrogance and rudeness are training wheels on the bicycle of life, for weak people who cannot keep their balance without them. By: Laura Teresa Marquez.""], "
"[""If you are patient in one moment of anger, you will escape one hundred days of sorrow. By: Chinese proverb.""], "
"[""When you have got an elephant by the hind legs and he is trying to run away, its best to let him run. By: Abraham Lincoln.""], "
"[""Courage is not about taking risks unknowingly but putting your own being in front of challenges that others may not be able to. By: Byron Pulsifer.""], "
"[""Can miles truly separate you from friends... If you want to be with someone you love, arent you already there? By Richard Bach.""], "
"[""The poor man is not he who is without a cent, but he who is without a dream. By: Harry Kemp.""], "
"[""The greatest good you can do for another is not just share your riches, but reveal to them their own. By: Benjamin Disraeli.""], "
"[""Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment. By: Buddha.""], "
"[""Peace of mind is not the absence of conflict from life, but the ability to cope with it. By: .""], "
"[""Face your deficiencies and acknowledge them; but do not let them master you. Let them teach you patience, sweetness, insight. By: Helen Keller.""], "
"[""Change is the law of life. And those who look only to the past or present are certain to miss the future. By: John Kennedy.""], "
"[""You have power over your mind, not outside events. Realize this, and you will find strength. By: Marcus Aurelius.""], "
"[""Let me tell you the secret that has led me to my goal my strength lies solely in my tenacity. By: Louis Pasteur.""], "
"[""We are what we think. All that we are arises with our thoughts. With our thoughts, we make the world. By: Buddha.""], "
"[""He that respects himself is safe from others; he wears a coat of mail that none can pierce. By: Henry Longfellow.""], "
"[""I cannot always control what goes on outside. But I can always control what goes on inside. By: Wayne Dyer.""], "
"[""What matters is the value weve created in our lives, the people weve made happy and how much weve grown as people. By: Daisaku Ikeda.""], "
"[""When you are offended at any mans fault, turn to yourself and study your own failings. Then you will forget your anger. By: Epictetus.""], "
"[""Everyone has been made for some particular work, and the desire for that work has been put in every heart. By: Rumi.""], "
"[""Take time to deliberate, but when the time for action has arrived, stop thinking and go in. By: Napoleon Bonaparte.""], "
"[""With realization of ones own potential and self-confidence in ones ability, one can build a better world. By: Dalai Lama.""], "
"[""Happiness is not in the mere possession of money; it lies in the joy of achievement, in the thrill of creative effort. By: Franklin Roosevelt.""], "
"[""You cannot make yourself feel something you do not feel, but you can make yourself do right in spite of your feelings. By: Pearl Buck.""], "
"[""Those who are blessed with the most talent dont necessarily outperform everyone else. Its the people with follow-through who excel. By: Mary Kay Ash.""], "
"[""Try not to become a man of success, but rather try to become a man of value. By: Albert Einstein.""], "
"[""Men of perverse opinion do not know the excellence of what is in their hands, till some one dash it from them. By: Sophocles.""], "
"[""It is not enough to have a good mind; the main thing is to use it well. By: Rene Descartes.""], "
"[""Responsibility is not inherited, it is a choice that everyone needs to make at some point in their life. By: Byron Pulsifer.""], "
"[""Never do things others can do and will do, if there are things others cannot do or will not do. By: Amelia Earhart.""], "
"[""I cant change the direction of the wind, but I can adjust my sails to always reach my destination. By: Jimmy Dean.""], "
"[""People of mediocre ability sometimes achieve outstanding success because they dont know when to quit. Most men succeed because they are determined to. By: George Allen.""], "
"[""A fine quotation is a diamond on the finger of a man of wit, and a pebble in the hand of a fool. By: Joseph Roux.""], "
"[""Lifes challenges are not supposed to paralyse you, theyre supposed to help you discover who you are. By: Bernice Reagon.""], "
"[""The greatest way to live with honour in this world is to be what we pretend to be. By: Socrates.""], "
"[""To exist is to change, to change is to mature, to mature is to go on creating oneself endlessly. By: Henri Bergson.""], "
"[""Try not to become a man of success but rather try to become a man of value. By: Albert Einstein.""], "
"[""You cant create in a vacuum. Life gives you the material and dreams can propel new beginnings. By: Byron Pulsifer.""], "
"[""Your work is to discover your world and then with all your heart give yourself to it. By: Buddha.""], "
"[""The person who lives life fully, glowing with lifes energy, is the person who lives a successful life. By: Daisaku Ikeda.""], "
"[""Dont turn away from possible futures before youre certain you dont have anything to learn from them. By: Richard Bach.""], "
"[""A successful person is one who can lay a firm foundation with the bricks that others throw at him or her. By: David Brinkley.""], "
